TIGER OUTPUT ADDRESS,City,State,Zip,LON,LAT
23 N WEKIWA SPRINGS RD, APOPKA, FL,32703,-81.46794955,28.67943633
305 S HIGHLAND AVE, APOPKA, FL,32703,-81.50528699,28.67392872
204 S CENTRAL AVE, APOPKA, FL,32703,-81.51159065,28.67542279
2484 COBBLEFIELD CIR, APOPKA, FL,32703,-81.49238296,28.64240754
2505 E SEMORAN BLVD, APOPKA, FL,32703,-81.46473404,28.67302592
2334 E SEMORAN BLVD, APOPKA, FL,32703,-81.46834985,28.67274933
2295 E SEMORAN BLVD, APOPKA, FL,32703,-81.46830968,28.67306378
11184 S APOPKA VINELAND RD, ORLANDO, FL,32836,-81.50323548,28.40334231
8464 WINTER GARDEN VINELAND RD, ORLANDO, FL,32836,-81.55230393,28.44437856
11659 RUBY LAKE RD, ORLANDO, FL,32836,-81.50307079,28.39671475
11551 RUBY LAKE RD, ORLANDO, FL,32836,-81.50307896,28.39799608
11100 GALVIN DR, ORLANDO, FL,32837,-81.41692402,28.40817639
12601 BALCOMBE RD, ORLANDO, FL,32837,-81.39863059,28.38428024
13740 TOWN LOOP BLVD, ORLANDO, FL,32837,-81.42986791,28.36293336
12853 ENCLAVE DR, ORLANDO, FL,32837,-81.39936381,28.37736699
3010 HUNTER'S CREEK BLVD, ORLANDO, FL,32837,-81.41827274,28.35297041
11340 S ORANGE BLOSSOM TRL, ORLANDO, FL,32837,-81.40476536,28.40134778
5118 TERRA VISTA WAY, ORLANDO, FL,32837,-81.4558344,28.35978786
4124 W TOWN CENTER BLVD, ORLANDO, FL,32837,-81.42696254,28.36305448
12307 S ORANGE BLOSSOM TRL, ORLANDO, FL,32837,-81.40434483,28.3850842
2111 SPICE AVE, ORLANDO, FL,32837,-81.40659366,28.38957766
11513 S ORANGE BLOSSOM TRL, ORLANDO, FL,32837,-81.40443118,28.39933424
1900 CENTRAL FLORIDA PKWY, ORLANDO, FL,32837,-81.4009912,28.40674447
12050 CRYSTAL COMMERCE WAY, ORLANDO, FL,32837,-81.42652921,28.38933443
5343 ANSONIA CT, ORLANDO, FL,32839,-81.41263844,28.48470124
4050 QUEEN ANNE DR, ORLANDO, FL,32839,-81.4280086,28.47908049
1616 HONOUR RD, ORLANDO, FL,32839,-81.40130219,28.49072516
2035 LA DUE CT, ORLANDO, FL,32811,-81.44061667,28.5174983
1825 BUCHANAN BAY CIR, ORLANDO, FL,32839,-81.40840935,28.4931259
5151 RALEIGH ST, ORLANDO, FL,32811,-81.44787621,28.52781541
5516 S TEXAS AVE, ORLANDO, FL,32839,-81.40920657,28.47885997
4743 RALEIGH ST, ORLANDO, FL,32811,-81.44138931,28.52788413
5389 CONROY RD, ORLANDO, FL,32811,-81.45247155,28.49439801
101 CLARKE RD, OCOEE, FL,34761,-81.51732361,28.56860136
1878 ATTUCKS AVE, ORLANDO, FL,32811,-81.43149584,28.52001565
1610 N LAKEWOOD AVE, OCOEE, FL,34761,-81.54263237,28.58709403
312 PEARLWOOD ST, ORLANDO, FL,32811,-81.4466826,28.54546705
11002 WINSHIRE BLVD, OCOEE, FL,34761,-81.54266414,28.53542655
4055 COVINGTON ST, ORLANDO, FL,32811,-81.42743617,28.51939596
2508 REDBERRY WAY, OCOEE, FL,34761,-81.51836406,28.60612161
29 S IVEY LN, ORLANDO, FL,32811,-81.43438865,28.54161493
860 TOMYN BLVD, WINTER GARDEN, FL,34787,-81.55835306,28.53003112
3401 S CONWAY RD, ORLANDO, FL,32812,-81.33076214,28.50234388
1025 S CLARKE RD, OCOEE, FL,34761,-81.52044008,28.55478974
2929 CONDEL DR, ORLANDO, FL,32812,-81.33566701,28.50923279
1601 A D MIMS RD, OCOEE, FL,34761,-81.52283665,28.5850031
5235 HOFFNER AVE, ORLANDO, FL,32812,-81.31803713,28.48064451
5037 BLUE MAJOR DR, WINDERMERE, FL,34786,-81.59185266,28.49186681
5066 S CONWAY RD, ORLANDO, FL,32812,-81.33095062,28.48183985
1801 ROUSE RD, ORLANDO, FL,32817,-81.22379374,28.56883824
12144 CHASE RD, WINDERMERE, FL,34786,-81.56020406,28.46421358
8414 E COLONIAL DR, ORLANDO, FL,32817,-81.27288768,28.56815135
13229 ROSKIN LN, WINDERMERE, FL,34786,-81.57980809,28.4595558
6421 UNDINE WAY, ORLANDO, FL,32818,-81.47035998,28.60164002
11815 SILVERLAKE PARK DR, WINDERMERE, FL,34786,-81.56146316,28.44347621
9131 MR LINCOLN CT, ORLANDO, FL,32818,-81.51171722,28.55920295
6290 LAKE SMITH CIR, WINDERMERE, FL,34786,-81.58841789,28.47672879
1513 HINCKLEY RD, ORLANDO, FL,32818,-81.46851213,28.56008553
311 N DILLARD ST, WINTER GARDEN, FL,34787,-81.58354559,28.56946852
644 DORSCHER RD, ORLANDO, FL,32818,-81.48423288,28.55024782
4161 N POWERS DR, ORLANDO, FL,32818,-81.46779322,28.59436102
14229 COUNTRY ESTATE DR, WINTER GARDEN, FL,34787,-81.59640863,28.52385248
6303 JENNIFER JEAN DR, ORLANDO, FL,32818,-81.46859971,28.6031588
989 GLENMEADOW DR, WINTER GARDEN, FL,34787,-81.57252509,28.58371895
7698 SILVER STAR RD, ORLANDO, FL,32818,-81.48891885,28.57743104
861 W LAKE MANN DR, ORLANDO, FL,32805,-81.42315184,28.53085361
8151 CLARCONA OCOEE RD, ORLANDO, FL,32818,-81.49606942,28.61253241
2448 29TH ST, ORLANDO, FL,32805,-81.40919583,28.51249363
6326 W COLONIAL DR, ORLANDO, FL,32818,-81.46810326,28.55194236
3000 C R SMITH ST, ORLANDO, FL,32805,-81.41414389,28.53444707
6308 W COLONIAL DR, ORLANDO, FL,32818,-81.46783487,28.55194236
8185 SUMMERLAKE GROVES ST, WINTER GARDEN, FL,34787,-81.62107264,28.44983527
1430 W KALEY ST, ORLANDO, FL,32805,-81.39981197,28.51993825
6848 SILVER STAR RD, ORLANDO, FL,32818,-81.47317891,28.57742734
1001 W PLANT ST, WINTER GARDEN, FL,34787,-81.60090014,28.56073311
2385 W CHURCH ST, ORLANDO, FL,32805,-81.41292391,28.54010216
7230 W COLONIAL DR, ORLANDO, FL,32818,-81.47973305,28.55185912
1101 S PARK AVE, WINTER GARDEN, FL,34787,-81.59174015,28.55097456
1264 S RIO GRANDE AVE, ORLANDO, FL,32805,-81.40128837,28.52657247
7231 PLANTAIN DR, ORLANDO, FL,32818,-81.48646091,28.56153089
700 9TH ST, WINTER GARDEN, FL,34787,-81.57529163,28.55641456
1342 BRUTON BLVD, ORLANDO, FL,32805,-81.42613645,28.52570153
2817 N POWERS DR, ORLANDO, FL,32818,-81.46770542,28.58032599
1407 KENNY CT, WINTER GARDEN, FL,34787,-81.5645208,28.56359971
1800 W WASHINGTON ST, ORLANDO, FL,32805,-81.40432809,28.54419709
8434 BANYAN BLVD, ORLANDO, FL,32819,-81.49890408,28.46761238
13337 W COLONIAL DR, WINTER GARDEN, FL,34787,-81.58032748,28.55114216
1102 26TH ST, ORLANDO, FL,32805,-81.39500314,28.51546174
8025 OAK PARK RD, ORLANDO, FL,32819,-81.49214544,28.48924597
3006 S RIO GRANDE AVE, ORLANDO, FL,32805,-81.40120686,28.51061761
1801 SEATONHAM ST, WINTER GARDEN, FL,34787,-81.61631066,28.51293108
8343 TANSY DR, ORLANDO, FL,32819,-81.49739246,28.46685397
13 E CYPRESS ST, WINTER GARDEN, FL,34787,-81.58543734,28.55659295
3099 ORANGE CENTER BLVD, ORLANDO, FL,32805,-81.41559693,28.5318248
8121 OAK PARK RD, ORLANDO, FL,32819,-81.49416809,28.48921684
1302 EDGEWAY DR, WINTER GARDEN, FL,34787,-81.56588631,28.56676536
297 S COTTAGE HILL RD, ORLANDO, FL,32805,-81.41586216,28.54007916
7900 S APOPKA VINELAND RD, ORLANDO, FL,32819,-81.49985447,28.45115759
16161 MARSH RD, WINTER GARDEN, FL,34787,-81.63262703,28.51728997
1033 W MICHIGAN ST, ORLANDO, FL,32805,-81.39323397,28.51468967
8711 SANDBERRY BLVD, ORLANDO, FL,32819,-81.50564269,28.47369584
1225 25TH ST, ORLANDO, FL,32805,-81.3960983,28.5164725
5129 S APOPKA VINELAND RD, ORLANDO, FL,32819,-81.50849793,28.48617805
2395 W CHURCH ST, ORLANDO, FL,32805,-81.41295635,28.5401017
6809 DAISY ST, ORLANDO, FL,32819,-81.47754819,28.46280343
624 BETHUNE DR, ORLANDO, FL,32805,-81.41975957,28.53364282
4819 SKEENA ST, ORLANDO, FL,32819,-81.44309282,28.45763797
422 S PARRAMORE AVE, ORLANDO, FL,32805,-81.38904602,28.53739879
6802 MANDARIN DR, ORLANDO, FL,32819,-81.44633359,28.46108147
2667 BRUTON BLVD, ORLANDO, FL,32805,-81.42590167,28.51299198
8029 CARAWAY DR, ORLANDO, FL,32819,-81.49195989,28.46517449
2500 BRUTON BLVD, ORLANDO, FL,32805,-81.42605204,28.51458725
7666 WALLACE RD, ORLANDO, FL,32819,-81.4849991,28.46079938
2301 E MICHIGAN ST, ORLANDO, FL,32806,-81.35335719,28.51332096
18555 OLD CHENEY HWY, ORLANDO, FL,32820,-81.10242721,28.5544874
2701 CONWAY GARDENS RD, ORLANDO, FL,32806,-81.33912508,28.51314218
10545 DEERGRASS LN, ORLANDO, FL,32821,-81.44741328,28.41311648
13502 TOWN LOOP BLVD, ORLANDO, FL,32837,-81.43103012,28.36433113
2740 E MICHIGAN ST, ORLANDO, FL,32806,-81.34811957,28.51313053
922 EGAN DR, ORLANDO, FL,32822,-81.28928238,28.53399486
2498 GINGER MILL BLVD, ORLANDO, FL,32837,-81.41151196,28.38358493
2447 RAEFORD RD, ORLANDO, FL,32806,-81.35068063,28.50959412
4000 S GOLDENROD RD, ORLANDO, FL,32822,-81.28551974,28.48829077
5741 W TOWN CENTER BLVD, ORLANDO, FL,32837,-81.4508046,28.35447331
1647 PEEL AVE, ORLANDO, FL,32806,-81.34747316,28.52269906
2493 ISLAND CLUB WAY, ORLANDO, FL,32822,-81.28161904,28.51297014
2405 E KALEY AVE, ORLANDO, FL,32806,-81.35154078,28.52050387
3973 ERIC CT, ORLANDO, FL,32822,-81.27572859,28.49771478
2533 MYAKKA DR, ORLANDO, FL,32839,-81.41339737,28.4841225
25 W JERSEY ST, ORLANDO, FL,32806,-81.37697135,28.51392396
1004 PONCE AVE, ORLANDO, FL,32822,-81.28269121,28.52364281
4540 S ORANGE BLOSSOM TRL, ORLANDO, FL,32839,-81.39693345,28.49843581
5600 OLD CHENEY HWY, ORLANDO, FL,32807,-81.31215282,28.56139909
7051 PERSHING AVE, ORLANDO, FL,32822,-81.29283453,28.49907396
1555 AMERICANA BLVD, ORLANDO, FL,32839,-81.40094848,28.48455661
6123 LA COSTA DR, ORLANDO, FL,32807,-81.30136304,28.52818404
2413 S GOLDENROD RD, ORLANDO, FL,32822,-81.28853805,28.5111551
4105 S NASHVILLE AVE, ORLANDO, FL,32839,-81.39893373,28.50159484
5725 DAHLIA DR, ORLANDO, FL,32807,-81.31010405,28.54588295
4400 WOODGATE BLVD, ORLANDO, FL,32822,-81.29672911,28.49996737
4974 MILLENIA BLVD, ORLANDO, FL,32839,-81.44220278,28.47861631
8024 RHEA CIR, ORLANDO, FL,32807,-81.27889669,28.57770954
4976 MILLENIA BLVD, ORLANDO, FL,32839,-81.44220268,28.47859287
2146 BRIDGEVIEW CIR, ORLANDO, FL,32824,-81.35433841,28.36298498
2304 N GOLDENROD RD, ORLANDO, FL,32807,-81.28637003,28.57803863
12100 KENDRA CT, ORLANDO, FL,32824,-81.38805603,28.39123321
8681 W IRLO BRONSON MEMORIAL HWY, KISSIMMEE, FL,34747,-81.62946261,28.34708315
900 ENGEL DR, ORLANDO, FL,32807,-81.30194913,28.53202147
1507 WOOD VIOLET DR, ORLANDO, FL,32824,-81.35936663,28.352023
5985 LA COSTA DR, ORLANDO, FL,32807,-81.30265587,28.52817465
9759 HOLLYHILL DR, ORLANDO, FL,32824,-81.35798191,28.42336211
825 GREENWAY PROFESSIONAL CT, ORLANDO, FL,32824,-81.36615666,28.37143785
304 E OAKLAND AVE, OAKLAND, FL,34760,-81.62353228,28.55466036
6939 YUCATAN DR, ORLANDO, FL,32807,-81.29033755,28.54607195
1212 HEATHER LAKE DR, ORLANDO, FL,32824,-81.37205921,28.35755077
1021 N GOLDENROD RD, ORLANDO, FL,32807,-81.28591091,28.5579546
10549 CABBAGE TREE LOOP, ORLANDO, FL,32825,-81.23044047,28.52616239
1 W OAKLAND AVE, OCOEE, FL,34761,-81.54420932,28.57060344
500 S SEMORAN BLVD, ORLANDO, FL,32807,-81.31067492,28.53695842
11001 LAKE UNDERHILL RD, ORLANDO, FL,32825,-81.226024,28.54173435
2245 STEFANSHIRE AVE, OCOEE, FL,34761,-81.50712026,28.58693435
148 COLEUS DR, ORLANDO, FL,32807,-81.30148311,28.54231287
1725 S DEAN RD, ORLANDO, FL,32825,-81.24002782,28.52405375
2009 FULLERS CROSS RD, OCOEE, FL,34761,-81.55258899,28.59518494
7723 TIMBER RIVER CIR, ORLANDO, FL,32807,-81.28542516,28.55969795
3100 SANCTUARY POINT BLVD, ORLANDO, FL,32825,-81.22110149,28.5101638
1501 E SILVER STAR RD, OCOEE, FL,34761,-81.52153561,28.57360536
4801 BASSWOOD LN, ORLANDO, FL,32808,-81.44533017,28.57748908
8959 W COLONIAL DR, OCOEE, FL,34761,-81.5080477,28.55197814
9000 LAKE UNDERHILL RD, ORLANDO, FL,32825,-81.2607607,28.53917136
4750 SILVER STAR RD, ORLANDO, FL,32808,-81.44480107,28.57785335
325 FIELDSTREAM BLVD, ORLANDO, FL,32825,-81.2284944,28.53860838
620 BANDERAS AVE, OCOEE, FL,34761,-81.53896216,28.56040408
1438 N PINE HILLS RD, ORLANDO, FL,32808,-81.45160106,28.57597733
942 GRASSY ISLAND LN, ORLANDO, FL,32825,-81.26367356,28.55602256
6440 W COLONIAL DR, ORLANDO, FL,32818,-81.46980187,28.55193192
2060 WEST RD, OCOEE, FL,34761,-81.5496218,28.60305037
1427 N PINE HILLS RD, ORLANDO, FL,32808,-81.4517589,28.57511172
222 NEIGHBORHOOD MARKET RD, ORLANDO, FL,32825,-81.27670209,28.54153669
8043 WINDY HILL WAY, ORLANDO, FL,32818,-81.4939488,28.56249649
5091 CATSPAW CT, ORLANDO, FL,32808,-81.44801231,28.60899994
10144 DORIATH CIR, ORLANDO, FL,32825,-81.2399384,28.51629336
6844 SILVER STAR RD, ORLANDO, FL,32818,-81.47317874,28.57742293
201 CLARKE RD, OCOEE, FL,34761,-81.51731461,28.56630636
805 FERGUSON DR, ORLANDO, FL,32808,-81.42002323,28.55404683
61 S DEAN RD, ORLANDO, FL,32825,-81.24422408,28.54149214
2625 N HIAWASSEE RD, ORLANDO, FL,32818,-81.47599612,28.57798488
1025 S CLARKE RD, OCOEE, FL,34761,-81.52044008,28.55478974
1301 N PINE HILLS RD, ORLANDO, FL,32808,-81.45205777,28.56864024
407 CASTING CT, ORLANDO, FL,32825,-81.23448071,28.53686545
7230 PLEASANT DR, ORLANDO, FL,32818,-81.48626827,28.56056317
1006 E CROWN POINT RD, OCOEE, FL,34761,-81.56082727,28.58481612
1238 N PINE HILLS RD, ORLANDO, FL,32808,-81.45136,28.56638453
7949 SOFT PINE CIR, ORLANDO, FL,32825,-81.28133569,28.55563954
1202 WISCONSIN AVE, SAINT CLOUD, FL,34769,-81.29034347,28.24695901
2108 SAN JOSE BLVD, ORLANDO, FL,32808,-81.44122231,28.56901661
53 S DEAN RD, ORLANDO, FL,32825,-81.24422488,28.54161235
4962 S APOPKA VINELAND RD, ORLANDO, FL,32819,-81.50858466,28.48887672
7866 WINTER GARDEN VINELAND RD, WINDERMERE, FL,34786,-81.56017029,28.44737466
4513 N PINE HILLS RD, ORLANDO, FL,32808,-81.45135519,28.5973445
1072 VISTA PALMA WAY, ORLANDO, FL,32825,-81.26056685,28.55593011
5715 TURKEY LAKE RD, ORLANDO, FL,32819,-81.47582072,28.48169053
300 MAIN ST, WINDERMERE, FL,34786,-81.5359169,28.49799956
6151 SILVER STAR RD, ORLANDO, FL,32808,-81.46611977,28.57788966
7113 WALLACE RD, ORLANDO, FL,32819,-81.47548929,28.46247097
4700 LINCOLN AVE, ORLANDO, FL,32819,-81.50024246,28.49303298
10102 JEPSON ST, ORLANDO, FL,32825,-81.2432285,28.55663272
4737 WILLAMETTE CIR, ORLANDO, FL,32826,-81.17396026,28.60840515
113 ROBERSON RD, WINDERMERE, FL,34786,-81.54289045,28.52973757
1101 N PINE HILLS RD, ORLANDO, FL,32808,-81.44972262,28.56160413
12050 E COLONIAL DR, ORLANDO, FL,32826,-81.20272931,28.56619209
5021 PUEBLO ST, ORLANDO, FL,32819,-81.44752901,28.45977472
9380 GOTHA RD, WINDERMERE, FL,34786,-81.51510118,28.52771136
1056 N PINE HILLS RD, ORLANDO, FL,32808,-81.44980347,28.56001947
1759 BONNEVILLE DR, ORLANDO, FL,32826,-81.18705223,28.56936739
5027 CASERTA ST, ORLANDO, FL,32819,-81.44795502,28.45500998
10710 PARK RIDGE GOTHA RD, WINDERMERE, FL,34786,-81.53862701,28.51880283
3850 WINTER ROSE DR, ORLANDO, FL,32810,-81.42634353,28.60784486
12702 SCIENCE DR, ORLANDO, FL,32826,-81.20086282,28.58122735
7606 AREZZO AVE, ORLANDO, FL,32819,-81.44875907,28.45483102
1130 E PLANT ST, WINTER GARDEN, FL,34787,-81.5708267,28.56889281
6000 W COLONIAL DR, ORLANDO, FL,32808,-81.46405122,28.55199567
5115 ANZIO ST, ORLANDO, FL,32819,-81.44861759,28.45574798
1041 N PINE HILLS RD, ORLANDO, FL,32808,-81.44948198,28.55963136
9186 DOWDEN RD, ORLANDO, FL,32827,-81.2639539,28.42977563
4851 S APOPKA VINELAND RD, ORLANDO, FL,32819,-81.5084445,28.49061734
220 WINDERMERE RD, WINTER GARDEN, FL,34787,-81.55849003,28.54205091
627 N PINE HILLS RD, ORLANDO, FL,32808,-81.44743078,28.5497885
9055 NORTHLAKE PKWY, ORLANDO, FL,32827,-81.26034164,28.4220976
8004 BANYAN BLVD, ORLANDO, FL,32819,-81.49166601,28.46763038
1221 BRICK RD, WINTER GARDEN, FL,34787,-81.60415392,28.55845519
1215 MERCY DR, ORLANDO, FL,32808,-81.43042108,28.55858824
7350 FUTURES DR, ORLANDO, FL,32819,-81.42895321,28.44110355
125 N LAKEVIEW AVE, WINTER GARDEN, FL,34787,-81.58769062,28.56663895
5086 NORTH LN, ORLANDO, FL,32808,-81.44998728,28.59629297
12537 HARNEY DR, ORLANDO, FL,32828,-81.20143558,28.53854567
18501 WASHINGTON AVE, ORLANDO, FL,32820,-81.10350374,28.55830294
1630 AVALON RD, WINTER GARDEN, FL,34787,-81.61203507,28.52730663
5135 BARNEGAT POINT RD, ORLANDO, FL,32808,-81.44576717,28.60498923
7317 MARSEILLE CIR, ORLANDO, FL,32822,-81.28591807,28.50903517
1211 WINTER GARDEN VINELAND RD, WINTER GARDEN, FL,34787,-81.58832407,28.52036095
2715 HIDDEN COVE CT, ORLANDO, FL,32822,-81.28439574,28.51151408
13478 SUMMER RAIN DR, ORLANDO, FL,32828,-81.16087088,28.53168307
2608 PIONEER RD, ORLANDO, FL,32808,-81.46369054,28.57808936
843 WOODBURY RD, ORLANDO, FL,32828,-81.19473779,28.55365846
1324 WINTER GARDEN VINELAND RD, WINTER GARDEN, FL,34787,-81.58779177,28.53736411
4008 N PINE HILLS RD, ORLANDO, FL,32808,-81.45151329,28.59250578
621 CANARY ISLAND CT, ORLANDO, FL,32828,-81.17184165,28.54468753
6820 HOFFNER AVE, ORLANDO, FL,32822,-81.2910912,28.48062837
1324 WINTER GARDEN VINELAND RD, WINTER GARDEN, FL,34787,-81.58779177,28.53736411
1531 MERCY DR, ORLANDO, FL,32808,-81.43046088,28.56267759
415 WOODBURY RD, ORLANDO, FL,32828,-81.19467734,28.54800552
1336 N PINE HILLS RD, ORLANDO, FL,32808,-81.45222174,28.57073896
8257 NARCOOSSEE PARK DR, ORLANDO, FL,32822,-81.27061497,28.45492287
1440 N PINE HILLS RD, ORLANDO, FL,32808,-81.45156249,28.57616002
13868 CAROLINA LAUREL DR, ORLANDO, FL,32828,-81.15196417,28.52167274
4531 ARCH ST, ORLANDO, FL,32808,-81.43546978,28.55704431
421 S GOLDENROD RD, ORLANDO, FL,32822,-81.2856004,28.53891397
1441 VINELAND RD, WINTER GARDEN, FL,34787,-81.5876235,28.54652238
1222 N PINE HILLS RD, ORLANDO, FL,32808,-81.45078873,28.56494559
13538 HIDDEN FOREST CIR, ORLANDO, FL,32828,-81.15534067,28.53403076
800 PAUL ST, ORLANDO, FL,32808,-81.46462859,28.55310604
6900 PERSHING AVE, ORLANDO, FL,32822,-81.29413514,28.49896837
33 N PARK AVE, APOPKA, FL,32703,-81.50937654,28.67837436
1012 N PINE HILLS RD, ORLANDO, FL,32808,-81.44924993,28.55883308
13461 TANJA KING BLVD, ORLANDO, FL,32828,-81.15093772,28.51223824
6225 HAZELTINE NATIONAL DR, ORLANDO, FL,32822,-81.29846684,28.45908082
262 S MCGEE AVE, APOPKA, FL,32703,-81.50067512,28.67436971
1109 N PINE HILLS RD, ORLANDO, FL,32808,-81.44971958,28.56168921
16245 BIRCHWOOD WAY, ORLANDO, FL,32828,-81.14037213,28.52710684
903 EMERALDA RD, ORLANDO, FL,32808,-81.45428588,28.55671716
7303 LAKE UNDERHILL RD, ORLANDO, FL,32822,-81.28762847,28.53921075
170 E MAGNOLIA ST, APOPKA, FL,32703,-81.5087082,28.67911094
820 SAN DOMINGO RD, ORLANDO, FL,32808,-81.45402188,28.55525297
4632 SADDLE CREEK PL, ORLANDO, FL,32829,-81.26565842,28.48758075
5815 VIKING RD, ORLANDO, FL,32808,-81.45934648,28.58824299
8131 SUN VISTA WAY, ORLANDO, FL,32822,-81.27663591,28.49079584
1935 S ORANGE BLOSSOM TRL, APOPKA, FL,32703,-81.46355539,28.64839948
4006 BRINELL AVE, ORLANDO, FL,32808,-81.42867416,28.55842236
3483 FOX HOLLOW DR, ORLANDO, FL,32829,-81.26481443,28.50137735
4862 INDIALANTIC DR, ORLANDO, FL,32808,-81.4468795,28.5721239
2333 E SEMORAN BLVD, APOPKA, FL,32703,-81.46785255,28.67305457
3604 DALEFORD RD, ORLANDO, FL,32808,-81.46098812,28.58906173
5209 VAN AKEN DR, ORLANDO, FL,32808,-81.45169032,28.59168394
2335 S GOLDENROD RD, ORLANDO, FL,32822,-81.28949448,28.51360754
1611 FINLEY AVE, APOPKA, FL,32703,-81.46328155,28.65455507
3615 N PINE HILLS RD, ORLANDO, FL,32808,-81.45144605,28.58810394
1851 S GOLDENROD RD, ORLANDO, FL,32822,-81.28543421,28.52461716
2413 N HASTINGS ST, ORLANDO, FL,32808,-81.45996582,28.57378396
3000 S CHICKASAW TRL, ORLANDO, FL,32829,-81.26908766,28.50762761
5705 INDIAN HILL RD, ORLANDO, FL,32808,-81.45820471,28.589073
4901 RED BAY DR, ORLANDO, FL,32829,-81.26535993,28.48285646
131 W 17TH ST, APOPKA, FL,32703,-81.51398704,28.65840993
1211 N PINE HILLS RD, ORLANDO, FL,32808,-81.45015975,28.56372783
12745 MOSS PARK RIDGE DR, ORLANDO, FL,32832,-81.20023218,28.42480623
4001 S GOLDENROD RD, ORLANDO, FL,32822,-81.28523794,28.48837391
328 W 17TH ST, APOPKA, FL,32703,-81.51813013,28.65834533
1250 N PINE HILLS RD, ORLANDO, FL,32808,-81.45179613,28.56746134
11800 NARCOOSSEE RD, ORLANDO, FL,32832,-81.24444415,28.39451605
4895 W COLONIAL DR, ORLANDO, FL,32808,-81.44519442,28.55267561
5449 S SEMORAN BLVD, ORLANDO, FL,32822,-81.30996236,28.48429521
441 S HIGHLAND AVE, APOPKA, FL,32703,-81.50528233,28.67257813
